_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA,CAQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
1,All alcohol conditions,"",d z,SMR01,1981/82,S92000003,d,156.6,138.3,0,:,7254,"",6435,"",0,:,1.1
2,All alcohol conditions,"",d z,SMR01,1982/83,S92000003,d,154.5,135.9,0,:,7149,"",6303,"",0,:,1.1
3,All alcohol conditions,"",d z,SMR01,1983/84,S92000003,d,170,145.8,0,:,7845,"",6762,"",0,:,1.2
4,All alcohol conditions,"",d z,SMR01,1984/85,S92000003,d,184.4,158.3,0,:,8577,"",7413,"",0,:,1.2
5,All alcohol conditions,"",d z,SMR01,1985/86,S92000003,d,207,176.9,0,:,9534,"",8190,"",0,:,1.2
6,All alcohol conditions,"",d z,SMR01,1986/87,S92000003,d,214.9,183,0,:,9939,"",8514,"",0,:,1.2
7,All alcohol conditions,"",d z,SMR01,1987/88,S92000003,d,247.2,208.4,0,:,11583,"",9837,"",0,:,1.2
8,All alcohol conditions,"",d z,SMR01,1988/89,S92000003,d,254.6,211.7,0,:,11787,"",9855,"",0,:,1.2
9,All alcohol conditions,"",d z,SMR01,1989/90,S92000003,d,271.4,227.4,0,:,12606,"",10584,"",0,:,1.2
10,All alcohol conditions,"",d z,SMR01,1990/91,S92000003,d,290.4,241.7,0,:,13536,"",11307,"",0,:,1.2
11,All alcohol conditions,"",d z,SMR01,1991/92,S92000003,d,326.6,265.5,179.2,"",15156,"",12369,"",8490,"",1.2
12,All alcohol conditions,"",d z,SMR01,1992/93,S92000003,d,368.9,296.8,200.4,"",17205,"",13911,"",9537,"",1.2
13,All alcohol conditions,"",d z,SMR01,1993/94,S92000003,d,381.2,305.1,200.9,"",17757,"",14292,"",9564,"",1.2
14,All alcohol conditions,"",d z,SMR01,1994/95,S92000003,d,427.6,338.8,220.1,"",20028,"",15918,"",10503,"",1.3
15,All alcohol conditions,"",d z,SMR01,1995/96,S92000003,d,514,398,256.4,"",24162,"",18807,"",12336,"",1.3
16,All alcohol conditions,"",d z,SMR01,1996/97,S92000003,d,584.2,445.9,280.1,"",27489,"",21072,"",13470,"",1.3
17,All alcohol conditions,"",d z,SMR01,1997/98,S92000003,d,629.4,471.8,291.6,"",29694,"",22383,"",14088,"",1.3
18,All alcohol conditions,"",d z,SMR01,1998/99,S92000003,d,645.1,480.4,288,"",30564,"",22827,"",13923,"",1.3
19,All alcohol conditions,"",d z,SMR01,1999/00,S92000003,d,686,504.1,294.9,"",32589,"",24021,"",14244,"",1.4
