_id,FinancialYear,CA,Dataset,DatasetQF,DischargesRate,PatientsRate
1,1997/98,S12000033,SMR01, ,186.38,151.86
2,1997/98,S12000033,SMR04, ,563.74,386.56
3,1997/98,S12000033,Total,d,750.12,524.62
4,1997/98,S12000034,SMR01, ,152.64,128.31
5,1997/98,S12000034,SMR04, ,329.62,252.19
6,1997/98,S12000034,Total,d,482.26,365.01
7,1997/98,S12000041,SMR01, ,200,163.64
8,1997/98,S12000041,SMR04, ,563.64,409.09
9,1997/98,S12000041,Total,d,759.09,545.45
10,1997/98,S12000035,SMR01, ,457.92,359.79
11,1997/98,S12000035,SMR04, ,692.32,468.82
12,1997/98,S12000035,Total,d,1150.24,746.84
13,1997/98,S12000036,SMR01, ,149.2,111.06
14,1997/98,S12000036,SMR04, ,677.56,444.23
15,1997/98,S12000036,Total,d,825.63,536.21
16,1997/98,S12000005,SMR01, ,82.37,72.08
17,1997/98,S12000005,SMR04, ,556.01,360.38
18,1997/98,S12000005,Total,d,638.39,422.16
19,1997/98,S12000006,SMR01, ,171.69,141.4
20,1997/98,S12000006,SMR04, ,555.48,400.62
21,1997/98,S12000006,Total,d,730.54,521.82
22,1997/98,S12000042,SMR01, ,168.48,158.57
23,1997/98,S12000042,SMR04, ,954.74,621.08
24,1997/98,S12000042,Total,d,1123.22,759.83
25,1997/98,S12000008,SMR01, ,234.68,205.86
26,1997/98,S12000008,SMR04, ,658.76,452.9
27,1997/98,S12000008,Total,d,893.45,625.82
28,1997/98,S12000045,SMR01, ,82.36,73.21
29,1997/98,S12000045,SMR04, ,425.51,274.52
30,1997/98,S12000045,Total,d,507.87,343.16
31,1997/98,S12000010,SMR01, ,108.29,85.49
32,1997/98,S12000010,SMR04, ,666.82,387.55
33,1997/98,S12000010,Total,d,769.41,467.34
34,1997/98,S12000011,SMR01, ,108.09,85.33
35,1997/98,S12000011,SMR04, ,472.18,307.2
36,1997/98,S12000011,Total,d,580.27,386.85
37,1997/98,S12000014,SMR01, ,118.6,90.69
38,1997/98,S12000014,SMR04, ,565.09,376.73
39,1997/98,S12000014,Total,d,683.69,449.98
40,1997/98,S12000047,SMR01, ,99.56,82.24
41,1997/98,S12000047,SMR04, ,542.51,356.38
42,1997/98,S12000047,Total,d,642.06,427.08
43,1997/98,S12000049,SMR01, ,271.73,218.4
44,1997/98,S12000049,SMR04, ,789.79,538.38
45,1997/98,S12000049,Total,d,1061.52,733.08
46,1997/98,S12000017,SMR01, ,275.7,206.18
47,1997/98,S12000017,SMR04, ,577.77,407.56
48,1997/98,S12000017,Total,d,853.47,577.77
49,1997/98,S12000018,SMR01, ,306.5,254.45
50,1997/98,S12000018,SMR04, ,832.76,578.3
51,1997/98,S12000018,Total,d,1139.26,798.06
52,1997/98,S12000019,SMR01, ,113.14,87.99
53,1997/98,S12000019,SMR04, ,729.1,414.83
54,1997/98,S12000019,Total,d,842.24,490.26
55,1997/98,S12000020,SMR01, ,246.67,189.31
56,1997/98,S12000020,SMR04, ,453.19,321.25
